season,episode,title,video_title,location,lat,lng,video_url,match_method,match_score
,0,Pilot,Lost WWII Spitfire Unearthed - Revealing the Pilot’s Final Battle | Time Team - S7 E3,"Dorchester, Oxfordshire",51.643934,-1.165309,https://www.youtube.com/watch?v=SSiGABqEXU8,title,1.0
1,,Title[2],,Location[2],,,,,0.324
1,1,The Guerrilla Base of the King,The Guerilla Base of the King | Time Team,"Athelney, Somerset",51.059011,-2.936678,https://www.youtube.com/watch?v=XmzdL7A5jac,title,0.841
1,2,On the Edge of an Empire,On the Edge of an Empire | FULL EPISODE | Time Team,"Ribchester, Lancashire",53.811145,-2.532268,https://www.youtube.com/watch?v=7uGM0aVQHTw,title,1.0
1,3,The New Town of a Norman Prince,The New Town of a Norman Prince | FULL EPISODE | Time Team,"Much Wenlock, Shropshire",52.595906,-2.55725,https://www.youtube.com/watch?v=zPmM0PRqegA,title,1.0
1,4,The Fortress in the Lake,The Fortress in the Lake | FULL EPISODE | Time Team,"Llangorse Lake, Powys",51.933672,-3.268508,https://www.youtube.com/watch?v=qpJHsC5cacY,title,1.0
2,1,Lord of the Isles,Lord Of The Isles | FULL EPISODE | Time Team,"Finlaggan, Islay",55.834867,-6.171225,https://www.youtube.com/watch?v=X5_Bs7Mfj7Y,title,1.0
2,2,The Saxon Graves,The Saxon Graves | FULL EPISODE | Time Team,"Winterbourne Gunner, Wiltshire",51.115883,-1.740619,https://www.youtube.com/watch?v=dH9dHw_xsvM,title,1.0
2,3,The Lost Villa,The Lost Villa | FULL EPISODE | Time Team,"Tockenham, Wiltshire",51.512439,-1.944539,https://www.youtube.com/watch?v=a5BOojQOJz4,title,1.0
2,4,The Archbishop's Back Garden,Did We Just Find the Real First Roman Road in London? | Time Team - S2 E4,"Lambeth Palace, London",51.496999,-0.11865,https://www.youtube.com/watch?v=anUGGUPQDKg,season/episode,0.25
2,5,Medieval Dining Hall,Medieval Dining Hall | FULL EPISODE | Time Team,"Hylton Castle, Sunderland",54.92253,-1.44318,https://www.youtube.com/watch?v=34qeBgEfNDY,title,1.0
3,1,Prehistoric Fogou,,"Boleigh, CornwallTreveneague, Cornwall",50.071303,-5.582972,,,0.586
3,2,Hunting for Mammoth,Hunting for Mammoth | FULL EPISODE | Time Team,"Stanton Harcourt, Oxfordshire",51.741998,-1.402281,https://www.youtube.com/watch?v=vZuIbam4Rxg,title,1.0
3,3,Village of the Templars,Secrets of the Knights Templar Unearthed at Templecombe | Time Team - S3 E3,"Templecombe, Somerset",50.997661,-2.415219,https://www.youtube.com/watch?v=O9yOh-QbBl8,season/episode,0.362
3,4,A Wreck of the Spanish Armada,Mystery of the 16th Century Shipwreck - Time Team's Underwater Discovery | Time Team - S3 E4,"Teignmouth, Devon",50.548171,-3.48941,https://www.youtube.com/watch?v=Dg-OWrQkpBM,season/episode,0.313
3,5,Palace of the Irish Kings,Searching for King Connor's Lost Palaces - Ancient Ulster Unearthed | Time Team - S3 E5,Emain MachaCreeveroeHaughey's FortBallydoo,54.3453,-6.7186,https://www.youtube.com/watch?v=l_W1WowRw2E,season/episode,0.283
3,6,Treasures of the Roman Field,➤ Time Team's Last of The ROMANS,"Lavenham, Suffolk",52.12409,0.83037,https://www.youtube.com/watch?v=jbbYXw0Smiw,title,0.621
4,1,"Episode One (Maryland, USA)",,"St. Mary's City, Maryland, United States",38.189167,-76.432222,,,0.478
4,2,Episode Two (Mystery of the Cornish Skeletons),,"Launceston, Cornwall",50.639822,-4.334246,,,0.506
4,3,Steam-Powered Mint,,"Soho, Birmingham",52.498633,-1.923911,,,0.468
4,4,8th Century Church,,"Govan, Glasgow",55.864368,-4.312815,,,0.448
4,5,Norman and Medieval Castles,Unearthing Malton: Secrets of the Medieval Castle and Jacobean Mansion | Time Team - S4 E5,"Malton, North Yorkshire",54.134507,-0.792469,https://www.youtube.com/watch?v=kGhHtp2QpTo,season/episode,0.411
4,6,Roman Villa,Digging Through Trenches For A Roman Villa | Time Team,"Netheravon, Wiltshire",51.232406,-1.789822,https://www.youtube.com/watch?v=yVsYO5AhiIQ,title,1.0
5,1,Episode One (Search for Richmond Palace),"Search for Richmond Palace (Full Episode) | S5 EP1 | Time Team (Richmond, Surrey)","Richmond, Surrey",51.460373,-0.310116,https://www.youtube.com/watch?v=HOnJH-3IAwE,season/episode,0.473
5,2,Episode Two (Somerset Levels),"Uncovering a 3,000-Year-Old Bronze Age Mystery in the Somerset Levels | Time Team - S5 E2","Greylake, Somerset",51.098932,-2.869454,https://www.youtube.com/watch?v=JqYMoeL5YVM,season/episode,0.411
5,3,"Episode Three (Sanday, Orkney)","Sanday, Orkney (Full Episode) | S5 EP3 | Time Team","Sanday, Orkney",59.264121,-2.60732,https://www.youtube.com/watch?v=4NFiKwXTMdU,season/episode,0.371
5,4,Turkdean,Back To Turkdean: Revisiting One Of Britain's Largest Roman Sites | Time Team,"Turkdean, Gloucestershire",51.86964,-1.85854,https://www.youtube.com/watch?v=mInuesqb6e4,title,1.0
5,5,"Episode Five (Beaker Settlement, Mallorca, Spain)","Beaker Settlement (Full Episode) | S5 EP5 | Time Team (Majorca, Spain)","Deià, Mallorca, Spain",39.712479,2.600798,https://www.youtube.com/watch?v=c9IfJqfPBdw,season/episode,0.566
5,6,Episode Six (Aston Eyre),,"Aston Eyre, Shropshire",52.543986,-2.513156,,,0.462
5,7,"Episode Seven (Cathedral Hill, Downpatrick, County Down)","Cathedral Hill (Full Episode) | S5 EP7 | Time Team (Downpatrick, County Down)","Downpatrick, County Down",54.327224,-5.721692,https://www.youtube.com/watch?v=8KrRsZfju2c,season/episode,0.633
5,8,Episode Eight (High Worsall),"High Worsall (Full Episode) | S5 EP8 | Time Team (High Worsall, North Yorkshire)","High Worsall, North Yorkshire",54.478678,-1.405971,https://www.youtube.com/watch?v=p0SVGPGxLJI,season/episode,0.495
6,1,Wedgwood's First Factory,"Wedgwood's First Factory (Full Episode) | S6 EP1 | Time Team (Burslem, Stoke-on-Trent)","Burslem, Stoke-on-Trent",53.045818,-2.196994,https://www.youtube.com/watch?v=zBg4_qb3Qmo,season/episode,1.0
6,2,"Episode Two (Roman Building, Papcastle, Cumbria)",,"Papcastle, Cumbria",54.668705,-3.380394,,,0.526
6,3,"Episode Three (Dominican Friary, Thetford, Norfolk)",,"Thetford, Norfolk",52.413928,0.744887,,,0.436
6,4,Cooper's Hole,,"Cheddar Gorge, Somerset",51.282857,-2.763778,,,0.408
6,5,"Episode Five (Plympton, Devon)",,"Plympton, Devon",50.382626,-4.047981,,,0.477
6,6,"Episode Six (Medieval Dockyard, Smallhythe, Kent)",,"Smallhythe, Kent",51.038072,0.700398,,,0.483
6,7,"Episode Seven (Roman Bath-house, Beauport Park, Sussex)","The Roman Bathhouse (Full Episode) | S6 EP7 | Time Team (Beauport Park, East Sussex)","Beauport Park, East Sussex",50.90247,0.539778,https://www.youtube.com/watch?v=NIi6iMinOug,season/episode,0.603
6,8,Bombers in Reedham Marshes,,"Reedham marshes, Norfolk",52.578406,1.586435,,,0.492
6,9,Turkdean II,,"Turkdean, Gloucestershire",51.869354,-1.858265,,,0.379
6,10,"Episode Ten (Bronze Age, Kemerton, Worcestershire)","Bronze Age Cropmarks (Full Episode) | S6 EP10 | Time Team (Kemerton, Worcestershire)","Kemerton, Worcestershire",52.028665,-2.086049,https://www.youtube.com/watch?v=vhF-74dMBJU,season/episode,0.562
6,11,"Episode Eleven (Norman Church, Bawsey, Norfolk)","Bawsey St James, Norfolk | S06E11 | Time Team","Bawsey, Norfolk",52.759183,0.462398,https://www.youtube.com/watch?v=aCm_P-h-sYI,season/episode,0.337
6,12,Nevis (Part 1 of 2),Nevis: Part 1 (Full Episode) | S6 EP12 | Time Team (Saint Kitts and Nevis),"Nevis, West Indies",17.152638,-62.612752,https://www.youtube.com/watch?v=bssVE1F896Y,season/episode,0.39
6,13,Nevis (Part 2 of 2),Lost Jamestown Found: Unearthing Nevis's Hidden History | Time Team - S6 E13,"Nevis, West Indies",17.152638,-62.612752,https://www.youtube.com/watch?v=YoBTVy78O9M,season/episode,0.205
7,1,A Muslim Port in Spain,"A Muslim Port in Spain (Full Episode) | S7 EP1 | Time Team (Denia, Spain)","Denia, Spain",38.840361,0.113166,https://www.youtube.com/watch?v=kxe3zXFPXo8,season/episode,1.0
7,2,The Mosaic at the Bottom of the Garden,,"Cirencester, Gloucestershire",51.712179,-1.961577,,,0.55
7,3,One of the First Spitfires Lost in France,Lost WWII Spitfire Unearthed - Revealing the Pilot’s Final Battle | Time Team - S7 E3,"Wierre-Effroy, France",50.778998,1.741021,https://www.youtube.com/watch?v=SSiGABqEXU8,season/episode,0.317
7,4,An Iron-Age Roundhouse and a Henge,Unearthing Wadden: 4000 Years of Secrets Beneath a Dorset Village | Time Team - S7 E4,"Waddon, Dorset",50.670234,-2.545086,https://www.youtube.com/watch?v=8nJ-nr1cA2k,season/episode,0.246
7,5,Hadrian's Wall,,"Birdoswald, Cumbria",54.989232,-2.604935,,,0.375
