video_url,title,location,lat,lng,season,episode
https://www.youtube.com/watch?v=dBg79tFmpO0,"The Hollow Way (Full Episode) | S16 EP12 | Time Team (Ulnaby, County Durham)","Ulnaby, County Durham",,,16,12
https://www.youtube.com/watch?v=v6-5XtPxZRk,Unearthing Coventry’s Lost Medieval Cathedral - Secrets Beneath the City | Time Team - S7 E7,,,,7,7
https://www.youtube.com/watch?v=8nJ-nr1cA2k,Unearthing Wadden: 4000 Years of Secrets Beneath a Dorset Village | Time Team - S7 E4,,,,7,4
https://www.youtube.com/watch?v=PUfW6BWBIjU,"Beacon on the Fens (Full Episode) | S16 EP11 | Time Team (Chapel Head, Cambridgeshire)","Chapel Head, Cambridgeshire",,,16,11
https://www.youtube.com/watch?v=SSiGABqEXU8,Lost WWII Spitfire Unearthed - Revealing the Pilot’s Final Battle | Time Team - S7 E3,,,,7,3
https://www.youtube.com/watch?v=HktL8CrFdv0,Uncovering Medieval Islamic Spain - Secrets of Denia's Lost City Revealed | Time Team - S7 E1,,,,7,1
https://www.youtube.com/watch?v=sQHb2mVzCpw,"King John’s Lost Palace (Full Episode) | S19 EP11 | Time Team (Clipstone, Nottinghamshire)","Clipstone, Nottinghamshire",,,19,11
https://www.youtube.com/watch?v=Bkbob3qcNw8,"Called to the Bar (Full Episode) | S16 EP10 | Time Team (Lincoln’s Inn, London)","Lincoln’s Inn, London",,,16,10
https://www.youtube.com/watch?v=YoBTVy78O9M,Lost Jamestown Found: Unearthing Nevis's Hidden History | Time Team - S6 E13,,,,6,13
https://www.youtube.com/watch?v=g0ILGS6ayM0,Uncovering the Lost Slave Village of Nevis - Caribbean Archaeology Revealed | Time Team - S6 E12,,,,6,12
https://www.youtube.com/watch?v=goJlGIOIDeo,"How to Lose a Castle (Full Episode) | S19 EP10 | Time Team (Crewkerne, Somerset)","Crewkerne, Somerset",,,19,10
https://www.youtube.com/watch?v=s0TVoeGdlTc,"Hermit Harbour (Full Episode) | S16 EP9 | Time Team (Looe, Cornwall)","Looe, Cornwall",,,16,9
https://www.youtube.com/watch?v=xiQp7pGB5Ts,Unearthing a Lost Roman Bathhouse and Ironworks in British Woods | Time Team - S6 E7,,,,6,7
https://www.youtube.com/watch?v=JqYMoeL5YVM,"Uncovering a 3,000-Year-Old Bronze Age Mystery in the Somerset Levels | Time Team - S5 E2",,,,5,2
https://www.youtube.com/watch?v=eJkoE8ijIW4,"Rome’s Wild West (Full Episode) | S19 EP9 | Time Team (Caerleon, Newport)","Caerleon, Newport",,,19,9
https://www.youtube.com/watch?v=5W4b0u3_PZY,"Mystery of the Ice Cream Villa (Full Episode) | S16 EP8 | Time Team (Colworth, Bedfordshire)","Colworth, Bedfordshire",,,16,8
https://www.youtube.com/watch?v=kGhHtp2QpTo,Unearthing Malton: Secrets of the Medieval Castle and Jacobean Mansion | Time Team - S4 E5,,,,4,5
https://www.youtube.com/watch?v=l_W1WowRw2E,Searching for King Connor's Lost Palaces - Ancient Ulster Unearthed | Time Team - S3 E5,,,,3,5
https://www.youtube.com/watch?v=tpsAVC_XQwY,"Secrets of the Dunes (Full Episode) | S19 EP8 | Time Team (Kenfig, Bridgend)","Kenfig, Bridgend",,,19,8
https://www.youtube.com/watch?v=8c74r2Mv1ws,"Anarchy in the UK (Full Episode) | S16 EP7 | Time Team (Radcot, Oxfordshire)","Radcot, Oxfordshire",,,16,7
https://www.youtube.com/watch?v=Dg-OWrQkpBM,Mystery of the 16th Century Shipwreck - Time Team's Underwater Discovery | Time Team - S3 E4,,,,3,4
https://www.youtube.com/watch?v=O9yOh-QbBl8,Secrets of the Knights Templar Unearthed at Templecombe | Time Team - S3 E3,,,,3,3
https://www.youtube.com/watch?v=kMxLojFJXuI,"The Only Earl is Essex (Full Episode) | S19 EP7 | Time Team (Colne Priory, Essex)","Colne Priory, Essex",,,19,7
