season,episode,title,location,has_coords,found,match_method,match_score,video_title,video_url
1,1,The Guerrilla Base of the King,"Athelney, Somerset",True,True,title,0.841,The Guerilla Base of the King | Time Team,https://www.youtube.com/watch?v=XmzdL7A5jac
1,2,On the Edge of an Empire,"Ribchester, Lancashire",True,True,title,1.0,On the Edge of an Empire | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=7uGM0aVQHTw
1,3,The New Town of a Norman Prince,"Much Wenlock, Shropshire",True,True,title,1.0,The New Town of a Norman Prince | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=zPmM0PRqegA
1,4,The Fortress in the Lake,"Llangorse Lake, Powys",True,True,title,1.0,The Fortress in the Lake | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=qpJHsC5cacY
1,,Title[2],Location[2],False,False,,0.324,,
2,1,Lord of the Isles,"Finlaggan, Islay",True,True,title,1.0,Lord Of The Isles | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=X5_Bs7Mfj7Y
2,2,The Saxon Graves,"Winterbourne Gunner, Wiltshire",True,True,title,1.0,The Saxon Graves | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=dH9dHw_xsvM
2,3,The Lost Villa,"Tockenham, Wiltshire",True,True,title,1.0,The Lost Villa | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=a5BOojQOJz4
2,4,The Archbishop's Back Garden,"Lambeth Palace, London",True,True,season/episode,0.25,Did We Just Find the Real First Roman Road in London? | Time Team - S2 E4,https://www.youtube.com/watch?v=anUGGUPQDKg
2,5,Medieval Dining Hall,"Hylton Castle, Sunderland",True,True,title,1.0,Medieval Dining Hall | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=34qeBgEfNDY
3,1,Prehistoric Fogou,"Boleigh, CornwallTreveneague, Cornwall",True,False,,0.586,,
